"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
86,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",86,"Kérouané-Centre","Sub-prefecture","Sub-prefecture",NA,NA
87,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",87,"Komodou","Sub-prefecture","Sub-prefecture",NA,NA
88,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",88,"Kounsankoro","Sub-prefecture","Sub-prefecture",NA,NA
89,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",89,"Linko","Sub-prefecture","Sub-prefecture",NA,NA
90,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",90,"Sibiribaro","Sub-prefecture","Sub-prefecture",NA,NA
91,97,"GIN","Guinea",4,"Kankan",11,"Kérouané",91,"Soromaya","Sub-prefecture","Sub-prefecture",NA,NA
92,97,"GIN","Guinea",4,"Kankan",12,"Kankan",92,"Balandougou","Sub-prefecture","Sub-prefecture",NA,NA
93,97,"GIN","Guinea",4,"Kankan",12,"Kankan",93,"Baté-Nafadji","Sub-prefecture","Sub-prefecture",NA,NA
94,97,"GIN","Guinea",4,"Kankan",12,"Kankan",94,"Boula","Sub-prefecture","Sub-prefecture",NA,NA
95,97,"GIN","Guinea",4,"Kankan",12,"Kankan",95,"Gbérédou-Baranama","Sub-prefecture","Sub-prefecture",NA,NA
96,97,"GIN","Guinea",4,"Kankan",12,"Kankan",96,"Kanfamoriyah","Sub-prefecture","Sub-prefecture",NA,NA
97,97,"GIN","Guinea",4,"Kankan",12,"Kankan",97,"Kankan-Centre","Sub-prefecture","Sub-prefecture",NA,NA
98,97,"GIN","Guinea",4,"Kankan",12,"Kankan",98,"Koumban","Sub-prefecture","Sub-prefecture",NA,NA
99,97,"GIN","Guinea",4,"Kankan",12,"Kankan",99,"Mamouroudou","Sub-prefecture","Sub-prefecture",NA,NA
100,97,"GIN","Guinea",4,"Kankan",12,"Kankan",100,"Missamana","Sub-prefecture","Sub-prefecture",NA,NA
